Query_ID,Student_Query,Priority
2577,Hostel electricity issue urgent,High
3784,Result not visible on portal,High
3024,Elective subject change request,Medium
3427,Assignment deadline extension request,Low
3384,Sports event registration query,Low
4666,Canteen food quality feedback,Low
2234,Transcript request status,Medium
1651,Result not visible on portal,High
3248,Transcript request status,Medium
4907,Sports event registration query,Low
678,ID card reissue process inquiry,Medium
3862,Emergency leave approval required,High
1540,Club membership request,Low
1917,Library access issue,Medium
62,Hostel electricity issue urgent,High
3660,Exam portal is not working,High
4138,Canteen food quality feedback,Low
4358,Result not visible on portal,High
1481,Canteen food quality feedback,Low
791,Scholarship amount not credited,High
1671,Emergency leave approval required,High
3209,Elective subject change request,Medium
5435,Request for bonafide certificate,Medium
3117,Emergency leave approval required,High
4948,Assignment deadline extension request,Low
4236,Request for bonafide certificate,Medium
5342,Library access issue,Medium
3750,ID card reissue process inquiry,Medium
4400,Library access issue,Medium
2597,Fee payment failed but amount deducted,High
4005,Elective subject change request,Medium
2094,Transcript request status,Medium
734,Result not visible on portal,High
3691,Result not visible on portal,High
4550,Exam portal is not working,High
3957,Club membership request,Low
5090,Transcript request status,Medium
1841,General timetable inquiry,Low
2852,Request for bonafide certificate,Medium
528,Emergency leave approval required,High
3304,General timetable inquiry,Low
5660,Admit card not generated for upcoming exam,High
2510,Scholarship amount not credited,High
2229,Elective subject change request,Medium
2095,Scholarship amount not credited,High
4336,WiFi slow in library,Low
804,Scholarship amount not credited,High
858,Library access issue,Medium
3471,Transcript request status,Medium
2419,General timetable inquiry,Low
2755,Canteen food quality feedback,Low
4680,Hostel electricity issue urgent,High
1644,Emergency leave approval required,High
220,Assignment deadline extension request,Low
5175,Emergency leave approval required,High
1289,Assignment deadline extension request,Low
1116,Fee payment failed but amount deducted,High
583,Fee payment failed but amount deducted,High
3162,Canteen food quality feedback,Low
44,Hostel electricity issue urgent,High
5772,Result not visible on portal,High
2452,Scholarship amount not credited,High
5950,Emergency leave approval required,High
1521,ID card reissue process inquiry,Medium
3129,Scholarship amount not credited,High
2132,Request for bonafide certificate,Medium
1745,WiFi slow in library,Low
5790,ID card reissue process inquiry,Medium
1225,Elective subject change request,Medium
2800,Exam portal is not working,High
1072,WiFi slow in library,Low
719,Hostel electricity issue urgent,High
4357,Hostel electricity issue urgent,High
1962,Sports event registration query,Low
671,Hostel electricity issue urgent,High
3894,Club membership request,Low
3103,Assignment deadline extension request,Low
2046,Assignment deadline extension request,Low
4798,Transcript request status,Medium
5954,Request for bonafide certificate,Medium
898,Exam portal is not working,High
1259,WiFi slow in library,Low
2856,Fee payment failed but amount deducted,High
96,Exam portal is not working,High
3022,Admit card not generated for upcoming exam,High
3277,Admit card not generated for upcoming exam,High
843,General timetable inquiry,Low
4035,WiFi slow in library,Low
2706,ID card reissue process inquiry,Medium
4976,Elective subject change request,Medium
2619,WiFi slow in library,Low
3419,Hostel electricity issue urgent,High
4632,ID card reissue process inquiry,Medium
5152,ID card reissue process inquiry,Medium
323,Fee payment failed but amount deducted,High
4356,General timetable inquiry,Low
2133,General timetable inquiry,Low
3728,Sports event registration query,Low
335,Internship approval request,Medium
2645,Request for bonafide certificate,Medium
333,ID card reissue process inquiry,Medium
834,Exam portal is not working,High
2535,Library access issue,Medium
2168,Transcript request status,Medium
2252,Transcript request status,Medium
1887,Canteen food quality feedback,Low
2167,Transcript request status,Medium
732,Canteen food quality feedback,Low
1696,Hostel electricity issue urgent,High
292,Canteen food quality feedback,Low
185,Transcript request status,Medium
4727,Fee payment failed but amount deducted,High
4764,General timetable inquiry,Low
3212,Emergency leave approval required,High
534,Exam portal is not working,High
2836,Emergency leave approval required,High
2716,Result not visible on portal,High
3899,Emergency leave approval required,High
3169,Admit card not generated for upcoming exam,High
658,ID card reissue process inquiry,Medium
1256,Internship approval request,Medium
2723,Fee payment failed but amount deducted,High
2733,Library access issue,Medium
2482,Request for bonafide certificate,Medium
5088,Internship approval request,Medium
899,Internship approval request,Medium
429,Hostel electricity issue urgent,High
5449,Assignment deadline extension request,Low
1993,Transcript request status,Medium
2005,Request for bonafide certificate,Medium
1437,Canteen food quality feedback,Low
5430,Transcript request status,Medium
1223,Scholarship amount not credited,High
2888,Library access issue,Medium
2338,Canteen food quality feedback,Low
3516,Canteen food quality feedback,Low
4520,General timetable inquiry,Low
5911,Internship approval request,Medium
4714,Sports event registration query,Low
2848,Assignment deadline extension request,Low
4337,Sports event registration query,Low
3387,Club membership request,Low
1722,ID card reissue process inquiry,Medium
2405,Emergency leave approval required,High
1819,Club membership request,Low
5419,Canteen food quality feedback,Low
2677,Exam portal is not working,High
4956,Fee payment failed but amount deducted,High
3613,Scholarship amount not credited,High
3729,Emergency leave approval required,High
2906,Hostel electricity issue urgent,High
1411,ID card reissue process inquiry,Medium
4343,Sports event registration query,Low
4003,Request for bonafide certificate,Medium
5714,Library access issue,Medium
2165,WiFi slow in library,Low
1832,Internship approval request,Medium
1127,Canteen food quality feedback,Low
4372,Result not visible on portal,High
5638,Assignment deadline extension request,Low
5923,Internship approval request,Medium
3781,Request for bonafide certificate,Medium
305,ID card reissue process inquiry,Medium
1898,Club membership request,Low
1293,Elective subject change request,Medium
71,Request for bonafide certificate,Medium
4145,Admit card not generated for upcoming exam,High
1306,Result not visible on portal,High
2781,Scholarship amount not credited,High
5252,ID card reissue process inquiry,Medium
4225,Emergency leave approval required,High
1666,Assignment deadline extension request,Low
1341,Assignment deadline extension request,Low
832,Library access issue,Medium
2572,Club membership request,Low
1457,WiFi slow in library,Low
3208,WiFi slow in library,Low
3247,Canteen food quality feedback,Low
239,Exam portal is not working,High
93,General timetable inquiry,Low
5710,Fee payment failed but amount deducted,High
2945,Fee payment failed but amount deducted,High
2520,Sports event registration query,Low
2772,Canteen food quality feedback,Low
2604,Scholarship amount not credited,High
5307,Elective subject change request,Medium
3440,Admit card not generated for upcoming exam,High
1002,Hostel electricity issue urgent,High
2043,Internship approval request,Medium
5179,Request for bonafide certificate,Medium
3429,Assignment deadline extension request,Low
2616,Sports event registration query,Low
1505,Sports event registration query,Low
958,Canteen food quality feedback,Low
3802,Admit card not generated for upcoming exam,High
5313,Internship approval request,Medium
4762,Sports event registration query,Low
1533,Hostel electricity issue urgent,High
2303,Assignment deadline extension request,Low
412,Admit card not generated for upcoming exam,High
1406,ID card reissue process inquiry,Medium
3348,Scholarship amount not credited,High
5759,Elective subject change request,Medium
1789,Admit card not generated for upcoming exam,High
2882,Club membership request,Low
3051,Scholarship amount not credited,High
2088,Club membership request,Low
1035,Exam portal is not working,High
5264,Internship approval request,Medium
5886,ID card reissue process inquiry,Medium
5221,Hostel electricity issue urgent,High
932,Scholarship amount not credited,High
5472,Admit card not generated for upcoming exam,High
3329,Request for bonafide certificate,Medium
634,Emergency leave approval required,High
1742,Elective subject change request,Medium
499,Sports event registration query,Low
938,Result not visible on portal,High
416,ID card reissue process inquiry,Medium
2329,Canteen food quality feedback,Low
3280,Assignment deadline extension request,Low
3587,General timetable inquiry,Low
4368,Admit card not generated for upcoming exam,High
4913,Admit card not generated for upcoming exam,High
758,Library access issue,Medium
1617,Request for bonafide certificate,Medium
1042,Transcript request status,Medium
3632,ID card reissue process inquiry,Medium
4654,WiFi slow in library,Low
4465,WiFi slow in library,Low
2463,Club membership request,Low
597,Fee payment failed but amount deducted,High
4044,Club membership request,Low
2764,Transcript request status,Medium
1069,Canteen food quality feedback,Low
2196,Transcript request status,Medium
3040,Emergency leave approval required,High
5605,Scholarship amount not credited,High
3228,Hostel electricity issue urgent,High
653,Club membership request,Low
4625,Sports event registration query,Low
5332,Request for bonafide certificate,Medium
5168,Result not visible on portal,High
2717,Sports event registration query,Low
4854,ID card reissue process inquiry,Medium
5902,General timetable inquiry,Low
2700,Hostel electricity issue urgent,High
4546,Library access issue,Medium
76,Emergency leave approval required,High
3667,Club membership request,Low
5925,Canteen food quality feedback,Low
2930,Hostel electricity issue urgent,High
5529,Sports event registration query,Low
5956,Sports event registration query,Low
3804,General timetable inquiry,Low
5026,Scholarship amount not credited,High
5283,Exam portal is not working,High
2485,Result not visible on portal,High
4792,Fee payment failed but amount deducted,High
1011,Exam portal is not working,High
1030,General timetable inquiry,Low
2843,Exam portal is not working,High
829,Assignment deadline extension request,Low
2707,Scholarship amount not credited,High
1877,Club membership request,Low
97,Hostel electricity issue urgent,High
3379,Transcript request status,Medium
4598,Library access issue,Medium
4596,Scholarship amount not credited,High
4842,Internship approval request,Medium
1201,Fee payment failed but amount deducted,High
622,Assignment deadline extension request,Low
5454,Sports event registration query,Low
1413,Sports event registration query,Low
567,Canteen food quality feedback,Low
544,Library access issue,Medium
1335,Request for bonafide certificate,Medium
4300,Request for bonafide certificate,Medium
52,General timetable inquiry,Low
5047,ID card reissue process inquiry,Medium
2068,Canteen food quality feedback,Low
3873,Emergency leave approval required,High
1559,ID card reissue process inquiry,Medium
746,WiFi slow in library,Low
4526,Assignment deadline extension request,Low
4672,Sports event registration query,Low
1468,WiFi slow in library,Low
4463,Internship approval request,Medium
196,ID card reissue process inquiry,Medium
3401,Elective subject change request,Medium
4268,Canteen food quality feedback,Low
3780,Scholarship amount not credited,High
803,General timetable inquiry,Low
1619,Club membership request,Low
5187,Internship approval request,Medium
4438,Assignment deadline extension request,Low
621,Hostel electricity issue urgent,High
5340,Transcript request status,Medium
4149,Library access issue,Medium
3627,Exam portal is not working,High
4113,Elective subject change request,Medium
3407,Club membership request,Low
3385,Assignment deadline extension request,Low
645,Result not visible on portal,High
2790,Sports event registration query,Low
5437,ID card reissue process inquiry,Medium
1790,Exam portal is not working,High
1062,Request for bonafide certificate,Medium
4158,Request for bonafide certificate,Medium
4600,Transcript request status,Medium
121,Fee payment failed but amount deducted,High
2917,Admit card not generated for upcoming exam,High
3881,ID card reissue process inquiry,Medium
4130,General timetable inquiry,Low
4820,Admit card not generated for upcoming exam,High
3195,Sports event registration query,Low
1231,Exam portal is not working,High
2761,Hostel electricity issue urgent,High
5538,Sports event registration query,Low
5575,Library access issue,Medium
5953,Assignment deadline extension request,Low
3307,WiFi slow in library,Low
135,Club membership request,Low
3484,Assignment deadline extension request,Low
2580,Library access issue,Medium
2841,General timetable inquiry,Low
3793,Exam portal is not working,High
5717,Club membership request,Low
2219,Request for bonafide certificate,Medium
512,Transcript request status,Medium
5985,Scholarship amount not credited,High
63,Transcript request status,Medium
1554,WiFi slow in library,Low
3771,Canteen food quality feedback,Low
5217,Library access issue,Medium
5589,Exam portal is not working,High
1719,Sports event registration query,Low
2861,Request for bonafide certificate,Medium
4371,General timetable inquiry,Low
2096,General timetable inquiry,Low
680,Assignment deadline extension request,Low
3687,Library access issue,Medium
1212,General timetable inquiry,Low
123,General timetable inquiry,Low
2642,Internship approval request,Medium
3086,Library access issue,Medium
4078,Result not visible on portal,High
4918,ID card reissue process inquiry,Medium
3177,Exam portal is not working,High
1211,Emergency leave approval required,High
568,Club membership request,Low
3430,WiFi slow in library,Low
549,Admit card not generated for upcoming exam,High
865,Fee payment failed but amount deducted,High
4540,WiFi slow in library,Low
1393,Emergency leave approval required,High
5726,Fee payment failed but amount deducted,High
2403,Emergency leave approval required,High
3985,Canteen food quality feedback,Low
2058,Request for bonafide certificate,Medium
4771,Club membership request,Low
721,Assignment deadline extension request,Low
3838,Hostel electricity issue urgent,High
2883,WiFi slow in library,Low
691,Emergency leave approval required,High
603,Sports event registration query,Low
2216,Scholarship amount not credited,High
4968,Library access issue,Medium
5376,Scholarship amount not credited,High
5016,Library access issue,Medium
5578,WiFi slow in library,Low
504,Sports event registration query,Low
4503,Fee payment failed but amount deducted,High
319,Fee payment failed but amount deducted,High
5879,Sports event registration query,Low
5514,Result not visible on portal,High
275,Fee payment failed but amount deducted,High
5156,Library access issue,Medium
3621,Assignment deadline extension request,Low
1362,ID card reissue process inquiry,Medium
4196,Elective subject change request,Medium
1527,Emergency leave approval required,High
2367,Internship approval request,Medium
3376,Sports event registration query,Low
4161,General timetable inquiry,Low
2292,ID card reissue process inquiry,Medium
3289,Internship approval request,Medium
3876,Club membership request,Low
3559,Canteen food quality feedback,Low
5158,Library access issue,Medium
946,Canteen food quality feedback,Low
4717,Library access issue,Medium
5782,Elective subject change request,Medium
296,Exam portal is not working,High
3167,Scholarship amount not credited,High
2183,Elective subject change request,Medium
299,Scholarship amount not credited,High
69,Result not visible on portal,High
4393,Club membership request,Low
737,Admit card not generated for upcoming exam,High
3476,Emergency leave approval required,High
4267,Sports event registration query,Low
2989,Sports event registration query,Low
3647,ID card reissue process inquiry,Medium
1504,Emergency leave approval required,High
2073,WiFi slow in library,Low
151,ID card reissue process inquiry,Medium
757,Emergency leave approval required,High
5899,Sports event registration query,Low
3502,Club membership request,Low
1704,Admit card not generated for upcoming exam,High
5467,General timetable inquiry,Low
2105,WiFi slow in library,Low
170,Hostel electricity issue urgent,High
2155,Library access issue,Medium
377,General timetable inquiry,Low
2026,Admit card not generated for upcoming exam,High
860,Canteen food quality feedback,Low
2688,Fee payment failed but amount deducted,High
5036,Assignment deadline extension request,Low
5349,Emergency leave approval required,High
379,Fee payment failed but amount deducted,High
4784,ID card reissue process inquiry,Medium
5457,Request for bonafide certificate,Medium
1295,ID card reissue process inquiry,Medium
4972,Library access issue,Medium
1433,ID card reissue process inquiry,Medium
5326,Library access issue,Medium
5860,Library access issue,Medium
2943,Fee payment failed but amount deducted,High
1780,Fee payment failed but amount deducted,High
3389,Scholarship amount not credited,High
5163,General timetable inquiry,Low
5136,WiFi slow in library,Low
3544,Request for bonafide certificate,Medium
842,Hostel electricity issue urgent,High
2573,Hostel electricity issue urgent,High
1190,Hostel electricity issue urgent,High
176,Hostel electricity issue urgent,High
4776,Scholarship amount not credited,High
928,Request for bonafide certificate,Medium
3259,Emergency leave approval required,High
46,Result not visible on portal,High
1261,Request for bonafide certificate,Medium
1097,WiFi slow in library,Low
1444,Library access issue,Medium
2108,Exam portal is not working,High
5004,Assignment deadline extension request,Low
1188,Request for bonafide certificate,Medium
5094,Assignment deadline extension request,Low
3788,Elective subject change request,Medium
1031,Internship approval request,Medium
4818,Internship approval request,Medium
301,Scholarship amount not credited,High
2524,Result not visible on portal,High
1473,WiFi slow in library,Low
284,General timetable inquiry,Low
4383,Club membership request,Low
2481,Transcript request status,Medium
4756,Request for bonafide certificate,Medium
3347,Admit card not generated for upcoming exam,High
1814,Canteen food quality feedback,Low
3888,Emergency leave approval required,High
4314,Elective subject change request,Medium
4142,WiFi slow in library,Low
5062,Emergency leave approval required,High
4828,Fee payment failed but amount deducted,High
2933,Exam portal is not working,High
2120,Canteen food quality feedback,Low
5658,Transcript request status,Medium
4815,Fee payment failed but amount deducted,High
3808,Club membership request,Low
5706,ID card reissue process inquiry,Medium
5775,Hostel electricity issue urgent,High
2331,Transcript request status,Medium
2030,Library access issue,Medium
5465,Sports event registration query,Low
258,ID card reissue process inquiry,Medium
508,WiFi slow in library,Low
1943,Fee payment failed but amount deducted,High
100,Elective subject change request,Medium
2956,WiFi slow in library,Low
745,Internship approval request,Medium
4571,General timetable inquiry,Low
5553,Library access issue,Medium
1376,Club membership request,Low
3867,Emergency leave approval required,High
3820,Elective subject change request,Medium
3683,Result not visible on portal,High
1955,Internship approval request,Medium
4747,ID card reissue process inquiry,Medium
1158,WiFi slow in library,Low
4369,Request for bonafide certificate,Medium
3366,Exam portal is not working,High
4906,Sports event registration query,Low
1438,WiFi slow in library,Low
367,Canteen food quality feedback,Low
4814,Assignment deadline extension request,Low
2942,Fee payment failed but amount deducted,High
403,Canteen food quality feedback,Low
4645,Transcript request status,Medium
5655,Admit card not generated for upcoming exam,High
950,Internship approval request,Medium
2782,ID card reissue process inquiry,Medium
20,Transcript request status,Medium
230,Canteen food quality feedback,Low
4188,Assignment deadline extension request,Low
669,Sports event registration query,Low
219,Request for bonafide certificate,Medium
5008,Library access issue,Medium
4025,Scholarship amount not credited,High
3572,Transcript request status,Medium
2514,General timetable inquiry,Low
4391,General timetable inquiry,Low
586,Library access issue,Medium
1913,Canteen food quality feedback,Low
5378,Club membership request,Low
4432,Request for bonafide certificate,Medium
4348,Result not visible on portal,High
3830,Request for bonafide certificate,Medium
3480,Canteen food quality feedback,Low
4578,Canteen food quality feedback,Low
778,Assignment deadline extension request,Low
2315,Exam portal is not working,High
1019,Assignment deadline extension request,Low
1607,ID card reissue process inquiry,Medium
2506,ID card reissue process inquiry,Medium
2808,Hostel electricity issue urgent,High
4589,ID card reissue process inquiry,Medium
3214,Request for bonafide certificate,Medium
1492,Transcript request status,Medium
4985,General timetable inquiry,Low
5248,ID card reissue process inquiry,Medium
4341,Emergency leave approval required,High
3661,Admit card not generated for upcoming exam,High
4488,Result not visible on portal,High
2878,WiFi slow in library,Low
1594,Elective subject change request,Medium
518,General timetable inquiry,Low
322,Assignment deadline extension request,Low
5265,Elective subject change request,Medium
5636,Elective subject change request,Medium
4100,Sports event registration query,Low
3690,Result not visible on portal,High
218,Request for bonafide certificate,Medium
2656,Fee payment failed but amount deducted,High
2389,Transcript request status,Medium
361,Club membership request,Low
4376,Assignment deadline extension request,Low
3337,Result not visible on portal,High
3011,Admit card not generated for upcoming exam,High
2319,Elective subject change request,Medium
1053,Emergency leave approval required,High
5141,Exam portal is not working,High
760,Club membership request,Low
4668,Result not visible on portal,High
5278,Hostel electricity issue urgent,High
5996,Admit card not generated for upcoming exam,High
1427,Scholarship amount not credited,High
4408,WiFi slow in library,Low
3698,Club membership request,Low
215,ID card reissue process inquiry,Medium
1615,Result not visible on portal,High
4676,Admit card not generated for upcoming exam,High
1718,General timetable inquiry,Low
2742,Club membership request,Low
2054,Library access issue,Medium
2999,Exam portal is not working,High
1984,Internship approval request,Medium
1703,Canteen food quality feedback,Low
3102,Request for bonafide certificate,Medium
3035,Admit card not generated for upcoming exam,High
5328,Library access issue,Medium
197,Assignment deadline extension request,Low
726,Transcript request status,Medium
3919,Sports event registration query,Low
1513,Hostel electricity issue urgent,High
2624,WiFi slow in library,Low
4539,Club membership request,Low
4696,Scholarship amount not credited,High
1057,Result not visible on portal,High
4994,General timetable inquiry,Low
888,Transcript request status,Medium
2699,Canteen food quality feedback,Low
1093,Assignment deadline extension request,Low
5098,Assignment deadline extension request,Low
4126,Request for bonafide certificate,Medium
569,Request for bonafide certificate,Medium
517,Elective subject change request,Medium
3629,Exam portal is not working,High
4830,Assignment deadline extension request,Low
2150,Request for bonafide certificate,Medium
140,Canteen food quality feedback,Low
5830,Elective subject change request,Medium
5275,Hostel electricity issue urgent,High
2285,Admit card not generated for upcoming exam,High
5011,Canteen food quality feedback,Low
1150,Result not visible on portal,High
4049,Exam portal is not working,High
2499,Transcript request status,Medium
2274,Result not visible on portal,High
2527,Library access issue,Medium
464,Scholarship amount not credited,High
3308,Sports event registration query,Low
3133,Request for bonafide certificate,Medium
4986,ID card reissue process inquiry,Medium
595,ID card reissue process inquiry,Medium
3081,Fee payment failed but amount deducted,High
1808,Exam portal is not working,High
5137,Internship approval request,Medium
451,Sports event registration query,Low
3044,Transcript request status,Medium
5827,Transcript request status,Medium
519,Result not visible on portal,High
2523,Emergency leave approval required,High
313,Sports event registration query,Low
5888,Result not visible on portal,High
4484,Sports event registration query,Low
2648,General timetable inquiry,Low
3438,Exam portal is not working,High
1175,Hostel electricity issue urgent,High
3533,Fee payment failed but amount deducted,High
452,Sports event registration query,Low
5038,Request for bonafide certificate,Medium
3425,General timetable inquiry,Low
1113,ID card reissue process inquiry,Medium
4845,Sports event registration query,Low
1579,Library access issue,Medium
891,Scholarship amount not credited,High
1616,Admit card not generated for upcoming exam,High
4349,General timetable inquiry,Low
3980,General timetable inquiry,Low
5681,Elective subject change request,Medium
5840,Result not visible on portal,High
2926,Internship approval request,Medium
1264,Emergency leave approval required,High
5616,Transcript request status,Medium
1000,Fee payment failed but amount deducted,High
3762,Fee payment failed but amount deducted,High
1360,Request for bonafide certificate,Medium
5995,Assignment deadline extension request,Low
1477,Sports event registration query,Low
193,Fee payment failed but amount deducted,High
4693,Canteen food quality feedback,Low
5399,Fee payment failed but amount deducted,High
2793,WiFi slow in library,Low
5002,Scholarship amount not credited,High
2408,Emergency leave approval required,High
5058,ID card reissue process inquiry,Medium
1875,Transcript request status,Medium
5301,General timetable inquiry,Low
1339,Scholarship amount not credited,High
3478,ID card reissue process inquiry,Medium
4843,Library access issue,Medium
3872,Result not visible on portal,High
2806,Assignment deadline extension request,Low
5900,Request for bonafide certificate,Medium
1294,Request for bonafide certificate,Medium
5286,Sports event registration query,Low
4513,Scholarship amount not credited,High
5618,Admit card not generated for upcoming exam,High
3520,Result not visible on portal,High
2665,General timetable inquiry,Low
1908,Exam portal is not working,High
3759,Library access issue,Medium
4154,Admit card not generated for upcoming exam,High
369,Assignment deadline extension request,Low
1938,Transcript request status,Medium
3574,Assignment deadline extension request,Low
1152,WiFi slow in library,Low
4922,Assignment deadline extension request,Low
4013,Assignment deadline extension request,Low
2352,Scholarship amount not credited,High
4052,Sports event registration query,Low
5661,Scholarship amount not credited,High
3556,Request for bonafide certificate,Medium
1873,Admit card not generated for upcoming exam,High
5903,Fee payment failed but amount deducted,High
192,Library access issue,Medium
2441,Assignment deadline extension request,Low
109,Club membership request,Low
175,Admit card not generated for upcoming exam,High
3170,Fee payment failed but amount deducted,High
3353,WiFi slow in library,Low
3835,Canteen food quality feedback,Low
1599,Hostel electricity issue urgent,High
1361,Emergency leave approval required,High
2104,Hostel electricity issue urgent,High
5220,Assignment deadline extension request,Low
5841,Internship approval request,Medium
5044,Canteen food quality feedback,Low
3581,Club membership request,Low
1165,General timetable inquiry,Low
3679,Library access issue,Medium
5285,General timetable inquiry,Low
1662,ID card reissue process inquiry,Medium
509,Sports event registration query,Low
167,Library access issue,Medium
2788,Canteen food quality feedback,Low
5522,Scholarship amount not credited,High
2255,Transcript request status,Medium
3962,WiFi slow in library,Low
104,Canteen food quality feedback,Low
2413,Result not visible on portal,High
4926,Hostel electricity issue urgent,High
4882,Admit card not generated for upcoming exam,High
1753,Assignment deadline extension request,Low
5355,Result not visible on portal,High
5104,General timetable inquiry,Low
1659,Transcript request status,Medium
153,Exam portal is not working,High
2587,Elective subject change request,Medium
1584,Exam portal is not working,High
2178,General timetable inquiry,Low
5970,Canteen food quality feedback,Low
4890,Assignment deadline extension request,Low
2115,Elective subject change request,Medium
2647,Fee payment failed but amount deducted,High
1823,Canteen food quality feedback,Low
5070,Hostel electricity issue urgent,High
3127,Assignment deadline extension request,Low
310,Exam portal is not working,High
5792,General timetable inquiry,Low
2432,Sports event registration query,Low
2571,Library access issue,Medium
496,Transcript request status,Medium
206,WiFi slow in library,Low
1435,Admit card not generated for upcoming exam,High
1136,Library access issue,Medium
869,Fee payment failed but amount deducted,High
306,WiFi slow in library,Low
1850,WiFi slow in library,Low
2237,Emergency leave approval required,High
1989,Hostel electricity issue urgent,High
5968,Hostel electricity issue urgent,High
